ID,title,description,priority,status,createdAt,limitDate,username
50cf6ae0-e789-4d02-b2e6-3985dd7db856,Task 1,Description for task 1,medium,In Progress,2025-10-27T15:08:47.163644,2025-10-28T15:08:47.163654,user1
3805d422-76e7-40bf-a394-89fd3859356e,Task 2,Description for task 2,high,Done,2025-10-27T15:08:47.163696,2025-10-29T15:08:47.163700,user2
8ef2e099-28d6-4188-8f81-a7a3c9e358ab,Task 3,Description for task 3,low,New,2025-10-27T15:08:47.163716,2025-10-30T15:08:47.163719,user3
391335f4-f458-492b-b4c8-1167b2b599e5,Task 4,Description for task 4,medium,In Progress,2025-10-27T15:08:47.163751,2025-10-31T15:08:47.163754,user4
6628fb30-e311-4531-b937-8aa88464f4b8,Task 5,Description for task 5,high,Done,2025-10-27T15:08:47.163785,2025-11-01T15:08:47.163788,user5
87db0d68-a38c-484f-939c-b5cae567050d,Task 6,Description for task 6,low,New,2025-10-27T15:08:47.163818,2025-11-02T15:08:47.163821,user1
162e50c8-e450-4aaa-ac64-01c6a4a3ef7b,Task 7,Description for task 7,medium,In Progress,2025-10-27T15:08:47.163851,2025-11-03T15:08:47.163854,user2
3da9edeb-cfba-4eaf-b46a-4c1397bb3eda,Task 8,Description for task 8,high,Done,2025-10-27T15:08:47.163883,2025-11-04T15:08:47.163886,user3
26256e3a-8538-4671-baac-260090d47092,Task 9,Description for task 9,low,New,2025-10-27T15:08:47.163915,2025-11-05T15:08:47.163918,user4
370f9faa-d562-4706-8d4b-1196f603b9db,Task 10,Description for task 10,medium,In Progress,2025-10-27T15:08:47.163947,2025-11-06T15:08:47.163950,user5
